,Food_pair,Wines
1,Beef,Ximénez-Spínola Pedro Ximénez Muy Viejo
2,Beef,Chobeo de Peciña 2009
3,Beef,Campo Viejo Tempranillo
5,Beef,Contador 2016
9,Beef,Manzanilla Solear
10,Beef,Fino Maestro Sierra
14,Lamb,Tras da Canda Caiño Blanco 2016
15,Lamb,Fernando de Castilla Classic Manzanilla
16,Lamb,Fernando de Castilla Classic Oloroso
21,Lamb,El Sacramento 2014
22,Lamb,Manzanilla La Guita
24,Lamb,Manzanilla Papirusa
25,Lamb,Encrucijado Palo Cortado 2015
26,Lamb,Los Pinos La Sort 2016
27,BBQ,Finca La Oración 2015
29,BBQ,Fernando de Castilla Classic Fino
31,BBQ,Fernando de Castilla Antique Fino
32,Hamburger or Sausage,Fernando de Castilla Antique Amontillado
33,Hamburger or Sausage,Florecita Clarete Tinajas 2015
34,Hamburger or Sausage,Javier Revert Clausus 2016
35,Hamburger or Sausage,Fernando de Castilla Antique Palo Cortado
37,Hamburger or Sausage,Fernando de Castilla Antique Oloroso
39,Hamburger or Sausage,Octogenarius Magnum 2014
40,Hamburger or Sausage,La Barajuela Fino II Saca 2013
41,Hamburger or Sausage,Oloroso Tradición VORS
42,Hamburger or Sausage,Amontillado Tradición VORS
43,Hamburger or Sausage,Las Uvas de la Ira Vino del Pueblo 2014
45,Chicken,Dry Sack Medium
46,Chicken,Fino Pando
47,Chicken,Málaga Virgen
48,"Feathered Game (guinea fowl, pheasant, squab, etc.)",Pyjama Godello 2015
54,"Feathered Game (guinea fowl, pheasant, squab, etc.)",Canasta Cream
55,Pasta,"Manzanilla Pasada Pastora Saca 2018 37,5 cl"
57,Pasta,Colosia Manzanilla
58,Pasta,Colosia Cream
59,Pasta with Tomato Sauce,Williams Colección de Añadas Fino Ecológico 2015
60,Pasta with Tomato Sauce,Gratallops Magnum 2017
62,"Fresh Water or Lighter Fish (trout, sole, etc.)",Almirez Magnum 2017
63,"Fresh Water or Lighter Fish (trout, sole, etc.)",Colosia Amontillado
71,"Shellfish (clams, mussels, scallops, oysters, etc.)",Caus Lubis 2004
72,"Shellfish (clams, mussels, scallops, oysters, etc.)",Matías i Torres Albillo Criollo 2014
75,Lobster,Reina de los Deseos Magnum 2017
77,Lobster,Colosía Solera Familiar Amontillado
78,Lobster,Colosía Solera Familiar Palo Cortado
79,Salmon,Colosía Solera Familiar Oloroso
84,Salmon,Señorío de P. Peciña Gran Reserva 2009
86,Salmon,Oriol Artigas La Raspa 2017
88,Smoked Salmon or other Smoked Fish,Pujanza Cisma 2010
91,"Soft, Creamy Cheeses with washed rind (brie, camembert, etc.)",Tradición Fino 12 Años
93,"Hard, Aged Cheeses (cheddar, aged gouda, manchego, etc.)",Campesino 2016
95,"Hard, Aged Cheeses (cheddar, aged gouda, manchego, etc.)",Termanthia 2013
97,"Hard, Aged Cheeses (cheddar, aged gouda, manchego, etc.)",Manzanilla Argüeso San León Reserva de la Familia
100,Goat's Cheese,As Caborcas 2015
101,Goat's Cheese,Leda Viñas Viejas 2014
